Row,Lat,Lng
1,47.655343,-117.420501
2,47.665633,-117.428998
3,47.658928,-117.429513
4,47.665286,-117.428998
5,47.676037,-117.422475
6,47.700997,-117.402734
7,47.713703,-117.405137
8,47.705618,-117.365140
9,47.656268,-117.379045
10,47.667252,-117.439985
11,47.628279,-117.369646
